time,dx,dy,xrawline,yrawline
532,1,-1,1,-1
532,2,0,3,-1
532,2,0,5,-1
533,2,0,7,-1
535,2,0,9,-1
536,2,0,11,-1
537,2,-1,13,-2
538,2,0,15,-2
540,2,-1,17,-3
543,2,0,19,-3
546,2,0,21,-3
549,4,0,25,-3
551,1,0,26,-3
552,3,0,29,-3
554,2,0,31,-3
557,3,0,34,-3
559,3,-1,37,-4
561,2,0,39,-4
564,3,0,42,-4
566,3,0,45,-4
567,3,0,48,-4
568,2,-1,50,-5
570,3,0,53,-5
571,3,0,56,-5
573,3,-1,59,-6
576,3,0,62,-6
578,5,0,67,-6
581,2,0,69,-6
582,4,0,73,-6
585,3,0,76,-6
589,4,0,80,-6
591,2,0,82,-6
593,4,-1,86,-7
595,3,0,89,-7
598,4,0,93,-7
600,3,-1,96,-8
603,2,0,98,-8
605,4,0,102,-8
617,4,0,106,-8
618,3,0,109,-8
619,4,-1,113,-9
619,3,0,116,-9
620,4,0,120,-9
622,3,-1,123,-10
623,4,0,127,-10
624,4,0,131,-10
624,3,-1,134,-11
625,5,0,139,-11
627,3,0,142,-11
628,3,-1,145,-12
629,3,0,148,-12
630,4,0,152,-12
635,4,-1,156,-13
640,3,0,159,-13
644,4,0,163,-13
645,4,-1,167,-14
653,3,0,170,-14
655,4,0,174,-14
656,4,-1,178,-15
658,3,0,181,-15
659,4,0,185,-15
659,3,-1,188,-16
660,4,0,192,-16
661,4,-1,196,-17
663,4,0,200,-17
665,7,-1,207,-18
667,3,0,210,-18
673,3,0,213,-18
675,3,-1,216,-19
677,3,0,219,-19
678,3,0,222,-19
678,4,-1,226,-20
679,3,0,229,-20
682,3,0,232,-20
683,3,-1,235,-21
689,3,0,238,-21
691,3,0,241,-21
692,3,0,244,-21
693,3,-1,247,-22
693,3,0,250,-22
695,2,0,252,-22
697,3,-1,255,-23
705,2,0,257,-23
706,3,-1,260,-24
706,2,0,262,-24
707,3,0,265,-24
709,2,-1,267,-25
710,3,0,270,-25
712,2,0,272,-25
713,2,0,274,-25
714,2,-1,276,-26
714,2,0,278,-26
715,1,0,279,-26
717,2,0,281,-26
719,1,-1,282,-27
720,2,0,284,-27
721,1,0,285,-27
725,2,0,287,-27
727,1,0,288,-27
728,3,-1,291,-28
729,1,0,292,-28
730,1,0,293,-28
732,1,0,294,-28
734,1,0,295,-28
736,1,-1,296,-29
741,1,0,297,-29
743,1,0,298,-29
748,1,0,299,-29
752,1,0,300,-29
758,1,-1,301,-30
760,1,0,302,-30
761,1,0,303,-30
762,1,0,304,-30
763,1,-1,305,-31
766,1,0,306,-31
768,1,0,307,-31
768,1,0,308,-31
769,0,-1,308,-32
770,1,0,309,-32
771,1,0,310,-32
771,1,0,311,-32
772,1,0,312,-32
775,0,-1,312,-33
777,1,0,313,-33
778,1,-1,314,-34
779,1,0,315,-34
780,1,-1,316,-35
783,1,0,317,-35
785,1,0,318,-35
786,0,-1,318,-36
786,1,0,319,-36
787,1,0,320,-36
788,1,0,321,-36
789,1,-1,322,-37
790,1,0,323,-37
791,1,0,324,-37
792,1,-1,325,-38
792,1,-1,326,-39
793,1,0,327,-39
794,1,-1,328,-40
795,1,0,329,-40
796,1,0,330,-40
799,1,0,331,-40
800,1,-1,332,-41
800,1,0,333,-41
801,1,-1,334,-42
802,2,-1,336,-43
804,1,0,337,-43
805,1,-1,338,-44
806,1,0,339,-44
808,2,-1,341,-45
809,1,0,342,-45
810,2,-1,344,-46
811,2,0,346,-46
813,1,-1,347,-47
814,1,-1,348,-48
815,2,-1,350,-49
816,1,0,351,-49
818,2,-1,353,-50
819,1,0,354,-50
820,2,-1,356,-51
820,1,-1,357,-52
821,2,-1,359,-53
822,1,0,360,-53
823,2,-1,362,-54
823,2,-1,364,-55
824,2,0,366,-55
825,1,-2,367,-57
826,2,0,369,-57
828,2,-1,371,-58
829,1,-1,372,-59
831,2,-1,374,-60
833,2,-1,376,-61
834,3,-1,379,-62
835,2,-1,381,-63
835,2,-1,383,-64
836,1,-1,384,-65
837,3,-1,387,-66
838,1,-1,388,-67
839,2,-1,390,-68
840,4,-2,394,-70
841,2,-1,396,-71
841,1,-1,397,-72
842,3,-1,400,-73
845,1,-1,401,-74
846,2,-1,403,-75
847,2,-1,405,-76
848,2,-2,407,-78
848,2,0,409,-78
849,2,-1,411,-79
850,2,-2,413,-81
851,2,-1,415,-82
852,2,-1,417,-83
852,2,-1,419,-84
853,1,-1,420,-85
854,3,-1,423,-86
854,1,-1,424,-87
855,3,-1,427,-88
856,1,-1,428,-89
857,2,-1,430,-90
858,2,-1,432,-91
860,2,-1,434,-92
862,2,-1,436,-93
862,2,-2,438,-95
863,2,-1,440,-96
865,2,0,442,-96
866,2,-2,444,-98
867,1,-1,445,-99
867,2,-1,447,-100
868,2,-1,449,-101
869,2,-1,451,-102
869,2,-1,453,-103
870,2,-1,455,-104
871,2,-1,457,-105
872,2,-1,459,-106
872,1,-1,460,-107
873,2,-2,462,-109
876,2,-1,464,-110
877,2,0,466,-110
877,1,-2,467,-112
878,3,-1,470,-113
879,1,-1,471,-114
880,2,-1,473,-115
880,2,-1,475,-116
881,2,-1,477,-117
882,2,-1,479,-118
882,1,-1,480,-119
883,3,-2,483,-121
884,2,-1,485,-122
884,1,-1,486,-123
885,2,0,488,-123
886,2,-2,490,-125
887,2,-1,492,-126
888,1,-1,493,-127
889,2,-1,495,-128
891,2,-2,497,-130
892,2,0,499,-130
893,1,-1,500,-131
894,2,-1,502,-132
894,3,-2,505,-134
895,1,-1,506,-135
896,2,0,508,-135
897,1,-2,509,-137
897,2,-1,511,-138
898,2,-1,513,-139
900,2,-1,515,-140
902,2,-1,517,-141
903,1,-2,518,-143
903,2,0,520,-143
904,2,-1,522,-144
907,1,-1,523,-145
908,2,-1,525,-146
909,2,-2,527,-148
910,1,0,528,-148
911,2,-2,530,-150
912,2,-1,532,-151
913,1,-1,533,-152
914,2,0,535,-152
915,2,-1,537,-153
916,1,-1,538,-154
916,2,-1,540,-155
917,1,-1,541,-156
918,2,-1,543,-157
919,2,-1,545,-158
920,1,-1,546,-159
924,2,-1,548,-160
925,2,-1,550,-161
927,2,-1,552,-162
928,1,-1,553,-163
929,2,-1,555,-164
930,1,-1,556,-165
931,2,-1,558,-166
932,2,-1,560,-167
934,2,-1,562,-168
935,1,-1,563,-169
937,2,-1,565,-170
938,2,0,567,-170
939,2,-2,569,-172
941,2,-1,571,-173
942,1,-1,572,-174
943,2,0,574,-174
944,2,-1,576,-175
945,1,-1,577,-176
946,2,-1,579,-177
947,2,-1,581,-178
948,2,-1,583,-179
949,2,-1,585,-180
949,1,0,586,-180
950,2,-1,588,-181
951,1,-2,589,-183
954,3,0,592,-183
955,1,-1,593,-184
956,1,0,594,-184
956,2,-1,596,-185
957,1,-1,597,-186
958,2,-1,599,-187
958,2,-1,601,-188
959,1,0,602,-188
960,2,-1,604,-189
961,2,-1,606,-190
962,1,0,607,-190
962,2,-2,609,-192
963,1,0,610,-192
964,1,-1,611,-193
965,2,0,613,-193
966,1,-1,614,-194
969,2,0,616,-194
970,1,-1,617,-195
971,2,-1,619,-196
971,2,-1,621,-197
972,1,0,622,-197
973,1,-1,623,-198
974,2,-1,625,-199
975,1,0,626,-199
976,2,-1,628,-200
976,1,-1,629,-201
977,1,0,630,-201
978,1,0,631,-201
979,1,-1,632,-202
980,2,0,634,-202
981,1,-1,635,-203
983,2,-1,637,-204
984,1,-1,638,-205
985,1,0,639,-205
985,1,-1,640,-206
986,1,0,641,-206
987,1,0,642,-206
988,0,-1,642,-207
989,1,0,643,-207
989,1,-1,644,-208
990,1,0,645,-208
990,1,-1,646,-209
991,1,0,647,-209
992,1,0,648,-209
992,0,-1,648,-210
993,1,0,649,-210
993,1,0,650,-210
994,0,-1,650,-211
995,1,0,651,-211
996,1,0,652,-211
996,0,-1,652,-212
999,1,0,653,-212
1000,1,-1,654,-213
1000,1,0,655,-213
1001,1,-1,656,-214
1002,1,0,657,-214
1002,1,0,658,-214
1003,0,-1,658,-215
1004,1,0,659,-215
1004,1,0,660,-215
1005,1,0,661,-215
1006,0,-1,661,-216
1006,1,0,662,-216
1007,1,0,663,-216
1008,0,-1,663,-217
1008,1,0,664,-217
1009,1,0,665,-217
1010,1,0,666,-217
1010,0,-1,666,-218
1011,1,0,667,-218
1012,1,0,668,-218
1012,1,0,669,-218
1015,0,-1,669,-219
1015,1,0,670,-219
1016,1,-1,671,-220
1017,1,0,672,-220
1017,1,0,673,-220
1018,1,0,674,-220
1019,1,0,675,-220
1019,0,-1,675,-221
1021,1,0,676,-221
1022,1,0,677,-221
1022,1,0,678,-221
1023,1,0,679,-221
1024,0,-1,679,-222
1025,1,0,680,-222
1026,1,0,681,-222
1027,1,0,682,-222
1027,1,0,683,-222
1028,1,0,684,-222
1031,1,0,685,-222
1032,0,-1,685,-223
1032,1,0,686,-223
1033,1,0,687,-223
1034,1,0,688,-223
1034,1,0,689,-223
1036,1,0,690,-223
1038,1,0,691,-223
1038,1,0,692,-223
1039,1,0,693,-223
1040,0,-1,693,-224
1041,1,0,694,-224
1042,1,0,695,-224
1043,1,0,696,-224
1043,1,0,697,-224
1047,0,-1,697,-225
1048,1,0,698,-225
1049,1,0,699,-225
1050,1,0,700,-225
1051,0,-1,700,-226
1052,1,0,701,-226
1053,1,0,702,-226
1054,1,-1,703,-227
1054,1,0,704,-227
1055,1,0,705,-227
1056,1,-1,706,-228
1057,1,0,707,-228
1058,1,0,708,-228
1059,1,-1,709,-229
1062,1,0,710,-229
1063,0,-1,710,-230
1064,1,0,711,-230
1065,1,0,712,-230
1067,1,-1,713,-231
1069,1,0,714,-231
1070,1,-1,715,-232
1071,1,0,716,-232
1072,1,-1,717,-233
1073,1,0,718,-233
1075,1,-1,719,-234
1077,2,0,721,-234
1078,1,-1,722,-235
1080,1,0,723,-235
1081,1,-1,724,-236
1082,1,-1,725,-237
1083,1,0,726,-237
1084,2,-1,728,-238
1085,1,0,729,-238
1086,1,0,730,-238
1086,0,-1,730,-239
1087,1,0,731,-239
1088,1,0,732,-239
1089,1,-2,733,-241
1090,1,0,734,-241
1090,1,0,735,-241
1093,2,-1,737,-242
1094,1,0,738,-242
1096,1,-1,739,-243
1097,1,0,740,-243
1098,1,-1,741,-244
1099,1,-1,742,-245
1100,1,0,743,-245
1101,2,-1,745,-246
1102,1,-1,746,-247
1103,1,0,747,-247
1104,1,0,748,-247
1105,1,-1,749,-248
1105,1,-1,750,-249
1106,1,0,751,-249
1110,1,-1,752,-250
1110,1,0,753,-250
1111,1,0,754,-250
1112,1,-1,755,-251
1113,1,0,756,-251
1114,1,-1,757,-252
1115,1,-1,758,-253
1116,1,0,759,-253
1117,1,0,760,-253
1119,1,-1,761,-254
1119,1,0,762,-254
1120,0,-1,762,-255
1121,1,0,763,-255
1124,1,0,764,-255
1125,1,0,765,-255
1126,0,-1,765,-256
1127,1,0,766,-256
1129,1,0,767,-256
1130,1,-1,768,-257
1131,1,-1,769,-258
1132,1,0,770,-258
1133,1,0,771,-258
1134,1,-1,772,-259
1135,1,0,773,-259
1135,1,-1,774,-260
1136,1,0,775,-260
1137,1,0,776,-260
1141,0,-1,776,-261
1142,1,0,777,-261
1143,1,-1,778,-262
1144,1,0,779,-262
1145,1,-1,780,-263
1146,1,0,781,-263
1148,0,-1,781,-264
1149,1,0,782,-264
1150,1,0,783,-264
1151,0,-1,783,-265
1155,1,0,784,-265
1158,1,0,785,-265
1160,0,-1,785,-266
1165,1,0,786,-266
1166,0,-1,786,-267
1166,1,0,787,-267
1167,1,0,788,-267
1168,1,0,789,-267
1171,0,-1,789,-268
1173,1,0,790,-268
1175,-1,0,789,-268
1177,-1,0,788,-268
1179,0,1,788,-267
1181,-1,0,787,-267
1182,0,0,787,-267
